Company name,City,County,Zip code,Date,Claimants,Wages owed,Industry_clean,industry_stolen,industry_total_claimants,industry_avg_loss_per_worker,company_total_wages,company_total_claimants,company_avg_loss_per_worker,county_total_wages,county_total_cases
Royal Care,Brooklyn,Kings County,11219,2022-10-26,108,6342157.5,Healthcare,86413131.15,57682,1498.0952662875768,6343826.28,112,56641.306071428575,87588061.27,4731
American Business Institute,Flushing,Queens County,11354,2022-09-01,133,6270141.0,Healthcare,86413131.15,57682,1498.0952662875768,6270141.0,133,47143.917293233084,82459395.43,4259
AGL Industries Inc,Maspeth,Queens County,11378,2019-06-18,249,4130507.45,Construction,61023694.45,20078,3039.3313303117843,4130507.45,249,16588.383333333335,82459395.43,4259
Bouchard Transportation Company,Melville,Suffolk County,11747,2020-02-29,280,3872895.48,Delivery/Transportation,22069415.419999998,30474,724.204745684846,4416123.48,405,10904.008592592594,53899585.56,3018
ABI/American Business Institute Corp,Flushing,Queens County,11354,2022-08-31,36,3065583.25,Healthcare,86413131.15,57682,1498.0952662875768,3065583.25,36,85155.09027777778,82459395.43,4259
"Systems Made Simple, Inc.",Syracuse,Onondaga County,13212,2014-08-16,742,2735493.22,Other,147547188.43,98576,1496.786118629281,2735493.22,742,3686.648544474394,11795371.15,809
United States Postal Service,Albany,Albany County,12203,2013-07-26,20800,2625468.76,Delivery/Transportation,22069415.419999998,30474,724.204745684846,2626855.42,20802,126.27898375156235,7516825.93,816
Go New York Tours Inc,New York,New York County,10017,2015-03-04,178,2367507.6,Other,147547188.43,98576,1496.786118629281,2379347.42,180,13218.596777777777,96159726.15,6430
Go New York Tours Inc.,New York,New York County,10017,2014-11-04,176,2320442.46,Other,147547188.43,98576,1496.786118629281,2320442.46,176,13184.332159090909,96159726.15,6430
Renaissance Home Health Care Services,Brooklyn,Kings County,11217,2022-09-01,14,1742227.38,Healthcare,86413131.15,57682,1498.0952662875768,1742227.38,14,124444.81285714285,87588061.27,4731
Great Care Inc,New York,New York County,10001,2022-09-06,20,1629626.75,Healthcare,86413131.15,57682,1498.0952662875768,1629831.83,21,77611.03952380952,96159726.15,6430
Terence Cardinal Cooke Nursing Home,New York,New York County,10029,2019-10-03,215,1552651.14,Healthcare,86413131.15,57682,1498.0952662875768,1552651.14,215,7221.633209302325,96159726.15,6430
Feher Rubbish Removal,Syracuse,Onondaga County,13204,2016-09-23,585,1550965.24,Delivery/Transportation,22069415.419999998,30474,724.204745684846,1550965.24,585,2651.2226324786325,11795371.15,809
Hopeton Care,Brooklyn,Kings County,11230,2017-11-17,769,1454372.18,Healthcare,86413131.15,57682,1498.0952662875768,1522616.94,1006,1513.5357256461232,87588061.27,4731
Abbatrans LLC,Baldwinsville,Onondaga County,13027,2019-09-04,116,1274584.46,Delivery/Transportation,22069415.419999998,30474,724.204745684846,1274584.46,116,10987.797068965518,11795371.15,809
